,alpha,fit_inter,mean_square_error
499,2.0,True,0.7440868210985441
498,1.9960120240480963,False,0.7440868213775651
497,1.9920240480961926,True,0.7440868216565859
496,1.9880360721442887,True,0.7440868219356068
495,1.984048096192385,False,0.744086822214628
494,1.980060120240481,True,0.7440868224936488
493,1.9760721442885774,False,0.74408682277267
492,1.9720841683366734,True,0.7440868230516909
491,1.9680961923847697,False,0.7440868233307121
490,1.9641082164328658,False,0.7440868236097331
489,1.9601202404809621,True,0.7440868238887541
488,1.9561322645290582,True,0.7440868241677754
487,1.9521442885771545,True,0.7440868244467963
486,1.9481563126252506,True,0.7440868247258174
485,1.9441683366733469,False,0.7440868250327459
484,1.940180360721443,True,0.7440868253117671
483,1.9361923847695393,False,0.7440868255953318
482,1.9322044088176353,False,0.7440868258743529
481,1.9282164328657316,False,0.7440868261533742
480,1.9242284569138277,True,0.7440868264323954
479,1.920240480961924,True,0.7440868267114167
478,1.91625250501002,True,0.7440868269904378
477,1.9122645290581164,True,0.7440868272694592
476,1.9082765531062125,False,0.7440868275484804
475,1.9042885771543088,True,0.7440868278275017
474,1.9003006012024048,True,0.744086828106523
473,1.8963126252505011,False,0.7440868283855444
472,1.8923246492985972,False,0.7440868286645659
471,1.8883366733466935,False,0.7440868289435872
470,1.8843486973947896,False,0.7440868292226086
469,1.880360721442886,False,0.7440868295016301
468,1.8763727454909822,False,0.7440868297806513
467,1.8723847695390783,True,0.7440868300596728
466,1.8683967935871746,False,0.7440868303386944
465,1.8644088176352707,False,0.7440868306177159
464,1.860420841683367,False,0.7440868308967372
463,1.856432865731463,True,0.7440868311757588
462,1.8524448897795593,True,0.7440868314547803
461,1.8484569138276554,True,0.7440868317338019
460,1.8444689378757517,False,0.7440868320128234
459,1.8404809619238478,True,0.744086832291845
458,1.836492985971944,False,0.7440868325708666
457,1.8325050100200402,False,0.7440868328498881
456,1.8285170340681365,False,0.7440868331289098
455,1.8245290581162326,True,0.7440868334079315
454,1.8205410821643289,False,0.744086833686953
453,1.816553106212425,True,0.7440868339659747
452,1.8125651302605212,True,0.7440868342449963
451,1.8085771543086173,False,0.7440868345240181
450,1.8045891783567136,False,0.7440868348030399
449,1.8006012024048097,True,0.7440868350820615
448,1.796613226452906,False,0.7440868353610833
447,1.792625250501002,True,0.7440868356401051
446,1.7886372745490984,False,0.7440868359191268
445,1.7846492985971945,False,0.7440868361981487
444,1.7806613226452908,True,0.7440868364771704
443,1.7766733466933868,True,0.7440868367561924
442,1.7726853707414831,False,0.7440868370352142
441,1.7686973947895792,False,0.744086837314236
440,1.7647094188376755,True,0.7440868375932579
439,1.7607214428857716,False,0.7440868378722798
438,1.756733466933868,True,0.7440868381513017
437,1.752745490981964,True,0.7440868384303237
436,1.7487575150300603,True,0.7440868387093457
435,1.7447695390781564,False,0.7440868389883676
434,1.7407815631262527,True,0.7440868392673896
433,1.7367935871743487,True,0.7440868395464115
432,1.732805611222445,True,0.7440868398254336
431,1.728817635270541,False,0.7440868401044556
430,1.7248296593186374,False,0.7440868403834777
429,1.7208416833667335,False,0.7440868406624996
428,1.7168537074148298,False,0.7440868409415218
427,1.7128657314629259,True,0.7440868412205439
426,1.7088777555110222,False,0.744086841499566
425,1.7048897795591185,True,0.7440868417785881
424,1.7009018036072145,True,0.7440868420576102
423,1.6969138276553108,False,0.7440868423366325
422,1.692925851703407,False,0.7440868426156546
421,1.6889378757515032,False,0.7440868428946767
420,1.6849498997995993,True,0.7440868431736989
419,1.6809619238476956,False,0.7440868434527212
418,1.6769739478957917,False,0.7440868437317435
417,1.672985971943888,False,0.7440868440107657
416,1.668997995991984,True,0.7440868442897881
415,1.6650100200400804,False,0.7440868445688104
414,1.6610220440881764,False,0.7440868448478326
413,1.6570340681362727,True,0.744086845126855
412,1.6530460921843688,False,0.7440868454058773
411,1.6490581162324651,False,0.7440868456848996
407,1.6331062124248499,True,0.7440868458672966
410,1.6450701402805612,False,0.7440868459639219
406,1.629118236472946,True,0.7440868461463188
409,1.6410821643286575,False,0.7440868462429444
405,1.6251302605210423,False,0.7440868464253413
408,1.6370941883767536,True,0.7440868465219668
404,1.6211422845691383,False,0.7440868467043636
403,1.6171543086172346,False,0.7440868469833861
402,1.6131663326653307,False,0.7440868472624086
401,1.609178356713427,False,0.7440868475414312
400,1.605190380761523,True,0.7440868478204536
399,1.6012024048096194,True,0.7440868480994762
398,1.5972144288577155,True,0.7440868483784986
397,1.5932264529058118,True,0.7440868486575212
396,1.5892384769539079,True,0.7440868489365436
395,1.5852505010020042,False,0.7440868492155663
394,1.5812625250501002,False,0.7440868494945889
393,1.5772745490981965,False,0.7440868497736114
392,1.5732865731462926,False,0.7440868500526341
391,1.569298597194389,False,0.7440868503316567
390,1.565310621242485,False,0.7440868506106793
389,1.5613226452905813,False,0.7440868508897021
388,1.5573346693386774,True,0.7440868511687247
387,1.5533466933867737,True,0.7440868514477474
386,1.5493587174348697,True,0.7440868517267701
385,1.545370741482966,True,0.7440868520057928
384,1.5413827655310623,True,0.7440868522848156
383,1.5373947895791584,False,0.7440868525638383
382,1.5334068136272547,True,0.7440868528428611
381,1.5294188376753508,False,0.7440868531218839
380,1.525430861723447,False,0.7440868534009067
379,1.5214428857715432,True,0.7440868536799295
378,1.5174549098196395,False,0.7440868539589525
377,1.5134669338677356,False,0.7440868542379753
376,1.5094789579158319,False,0.7440868545169982
375,1.505490981963928,True,0.7440868547960211
374,1.5015030060120242,False,0.7440868550750441
373,1.4975150300601203,True,0.744086855369108
372,1.4935270541082166,False,0.744086855648131
371,1.4895390781563127,False,0.744086855927154
370,1.485551102204409,True,0.744086856206177
369,1.481563126252505,False,0.7440868564852
368,1.4775751503006014,True,0.744086856764223
367,1.4735871743486975,True,0.7440868570432461
366,1.4695991983967938,False,0.7440868573222692
365,1.4656112224448898,True,0.7440868576012921
364,1.4616232464929861,True,0.7440868578803151
363,1.4576352705410822,False,0.7440868581593383
362,1.4536472945891785,True,0.7440868584383614
361,1.4496593186372746,False,0.7440868587173846
360,1.445671342685371,True,0.7440868589964077
359,1.441683366733467,False,0.7440868592754308
358,1.4376953907815633,False,0.7440868595544541
357,1.4337074148296594,True,0.7440868598334772
356,1.4297194388777557,True,0.7440868601125004
355,1.4257314629258517,False,0.7440868603915237
354,1.421743486973948,True,0.7440868606705469
353,1.4177555110220441,True,0.7440868609495701
352,1.4137675350701404,True,0.7440868612285934
351,1.4097795591182365,False,0.7440868615076166
350,1.4057915831663328,False,0.74408686178664
349,1.4018036072144289,False,0.7440868620656632
348,1.3978156312625252,False,0.7440868623446866
347,1.3938276553106212,True,0.7440868626237099
346,1.3898396793587176,False,0.7440868629027334
345,1.3858517034068136,True,0.7440868631817568
344,1.38186372745491,False,0.7440868634607802
343,1.377875751503006,True,0.7440868637398037
342,1.3738877755511023,False,0.7440868640188271
341,1.3698997995991986,True,0.7440868642978504
340,1.3659118236472947,True,0.744086864576874
339,1.361923847695391,False,0.7440868648558974
338,1.357935871743487,False,0.744086865134921
337,1.3539478957915834,False,0.7440868654139445
336,1.3499599198396794,False,0.744086865692968
335,1.3459719438877757,True,0.7440868659719915
334,1.3419839679358718,True,0.7440868662510152
333,1.3379959919839681,False,0.7440868665300386
332,1.3340080160320642,False,0.7440868668090623
331,1.3300200400801605,False,0.7440868670880858
330,1.3260320641282566,False,0.7440868673671096
329,1.3220440881763529,False,0.7440868676461333
328,1.318056112224449,False,0.7440868679251568
327,1.3140681362725453,False,0.7440868682041806
326,1.3100801603206413,True,0.7440868684832043
325,1.3060921843687376,False,0.744086868762228
324,1.3021042084168337,True,0.7440868690412518
323,1.29811623246493,False,0.7440868693202753
322,1.294128256513026,True,0.7440868695992991
321,1.2901402805611224,True,0.7440868698783228
320,1.2861523046092185,False,0.7440868701573468
319,1.2821643286573148,False,0.7440868704363706
318,1.2781763527054109,True,0.7440868707153944
317,1.2741883767535072,False,0.7440868709944183
316,1.2702004008016032,False,0.7440868712734421
315,1.2662124248496995,True,0.744086871552466
314,1.2622244488977956,False,0.744086871826086
313,1.258236472945892,True,0.7440868721051099
312,1.254248496993988,True,0.7440868723841337
311,1.2502605210420843,False,0.7440868726631578
310,1.2462725450901804,False,0.7440868729421818
309,1.2422845691382767,True,0.7440868732212057
308,1.2382965931863728,False,0.7440868735002296
307,1.234308617234469,False,0.7440868737494188
306,1.2303206412825651,False,0.744086874028443
305,1.2263326653306614,False,0.7440868743074669
304,1.2223446893787575,False,0.7440868745864909
303,1.2183567134268538,False,0.7440868748655151
302,1.2143687374749499,False,0.7440868751445391
301,1.2103807615230462,False,0.7440868754235632
300,1.2063927855711423,False,0.7440868757025874
299,1.2024048096192386,True,0.7440868759816116
298,1.1984168336673349,False,0.7440868762606356
297,1.194428857715431,False,0.7440868765396598
296,1.1904408817635272,True,0.744086876818684
295,1.1864529058116233,True,0.7440868770977083
294,1.1824649298597196,False,0.7440868773767324
293,1.1784769539078157,False,0.7440868776557567
283,1.1385971943887776,False,0.7440868778289019
292,1.174488977955912,False,0.7440868779347809
282,1.134609218436874,True,0.7440868781079263
291,1.170501002004008,True,0.7440868782138051
281,1.13062124248497,False,0.7440868783869508
290,1.1665130260521044,True,0.744086878454699
280,1.1266332665330663,False,0.7440868786659751
289,1.1625250501002005,True,0.7440868787337231
279,1.1226452905811624,False,0.7440868789449995
288,1.1585370741482968,False,0.7440868790127475
278,1.1186573146292587,True,0.744086879224024
287,1.1545490981963928,True,0.7440868792917719
277,1.1146693386773547,True,0.7440868795030485
286,1.1505611222444891,True,0.7440868795707962
276,1.110681362725451,True,0.744086879782073
285,1.1465731462925852,False,0.7440868798498206
275,1.1066933867735471,True,0.7440868800610974
284,1.1425851703406815,True,0.744086880128845
274,1.1027054108216434,False,0.744086880340122
273,1.0987174348697395,True,0.7440868806191464
272,1.0947294589178358,False,0.744086880898171
271,1.0907414829659319,False,0.7440868811771956
270,1.0867535070140282,False,0.7440868814562203
269,1.0827655310621243,False,0.7440868817352448
268,1.0787775551102206,True,0.7440868820142693
267,1.0747895791583166,True,0.7440868822932941
266,1.070801603206413,True,0.7440868825723188
265,1.066813627254509,True,0.7440868828513434
264,1.0628256513026053,True,0.7440868831303681
263,1.0588376753507014,False,0.7440868834093928
262,1.0548496993987977,True,0.7440868836884175
261,1.0508617234468938,False,0.7440868839674422
260,1.04687374749499,False,0.744086884246467
259,1.0428857715430861,True,0.7440868845254917
258,1.0388977955911824,False,0.7440868848045166
257,1.0349098196392785,False,0.7440868850835413
256,1.0309218436873748,True,0.7440868853625661
255,1.0269338677354711,False,0.7440868856415909
254,1.0229458917835672,True,0.7440868859206158
253,1.0189579158316635,False,0.7440868861996406
252,1.0149699398797596,True,0.7440868864786655
251,1.0109819639278559,False,0.7440868867576904
250,1.006993987975952,False,0.7440868870367152
249,1.003006012024048,False,0.7440868873157402
248,0.9990180360721443,False,0.7440868875947653
247,0.9950300601202405,True,0.7440868878737902
246,0.9910420841683367,False,0.7440868881528152
245,0.9870541082164329,False,0.7440868884318401
244,0.9830661322645291,True,0.7440868887108651
243,0.9790781563126253,True,0.7440868889898903
242,0.9750901803607215,True,0.7440868892689152
241,0.9711022044088177,True,0.7440868895479402
240,0.9671142284569139,True,0.7440868898269654
239,0.96312625250501,True,0.7440868901059905
238,0.9591382765531062,True,0.7440868903850155
237,0.9551503006012024,False,0.7440868906640407
236,0.9511623246492986,True,0.7440868909430659
235,0.9471743486973948,False,0.7440868912220908
234,0.9431863727454911,False,0.7440868915011162
233,0.9391983967935873,False,0.7440868917801413
232,0.9352104208416835,True,0.7440868920591666
231,0.9312224448897797,False,0.7440868923381918
230,0.9272344689378759,False,0.744086892617217
229,0.9232464929859721,True,0.7440868928962423
228,0.9192585170340682,False,0.7440868931752675
227,0.9152705410821644,False,0.7440868934542928
226,0.9112825651302606,True,0.744086893733318
225,0.9072945891783568,True,0.7440868940123435
224,0.903306613226453,False,0.7440868942913689
223,0.8993186372745492,True,0.7440868945703942
222,0.8953306613226454,False,0.7440868948494195
221,0.8913426853707416,False,0.7440868951284448
220,0.8873547094188378,False,0.7440868954074703
219,0.883366733466934,True,0.7440868956864957
218,0.8793787575150301,False,0.744086895965521
217,0.8753907815631263,True,0.7440868962445466
215,0.8674148296593187,True,0.7440868962978224
216,0.8714028056112225,False,0.7440868965235721
214,0.8634268537074149,False,0.7440868965768479
213,0.8594388777555111,False,0.7440868968558736
212,0.8554509018036073,True,0.744086897134899
211,0.8514629258517035,True,0.7440868974139245
210,0.8474749498997997,False,0.7440868976929502
209,0.8434869739478958,False,0.7440868979719756
208,0.839498997995992,False,0.7440868982510013
207,0.8355110220440882,True,0.744086898530027
206,0.8315230460921844,True,0.7440868988090525
205,0.8275350701402806,False,0.7440868990880782
204,0.8235470941883768,False,0.7440868993671038
203,0.819559118236473,True,0.7440868996461296
202,0.8155711422845692,True,0.7440868999251552
201,0.8115831663326654,True,0.7440869002041809
200,0.8075951903807616,True,0.7440869004832067
199,0.8036072144288577,True,0.7440869007622324
198,0.7996192384769539,False,0.7440869010412581
197,0.7956312625250501,False,0.7440869013202838
196,0.7916432865731463,True,0.7440869015993097
195,0.7876553106212425,True,0.7440869018783355
194,0.7836673346693387,True,0.7440869021573613
193,0.7796793587174349,False,0.7440869024363871
192,0.7756913827655312,False,0.7440869027154129
191,0.7717034068136274,True,0.7440869029944388
190,0.7677154308617236,False,0.7440869032734648
189,0.7637274549098197,True,0.7440869035524906
188,0.7597394789579159,False,0.7440869038424325
187,0.7557515030060121,False,0.7440869041214582
186,0.7517635270541083,True,0.7440869044004843
185,0.7477755511022045,False,0.7440869046795103
184,0.7437875751503007,True,0.7440869049585362
183,0.7397995991983969,False,0.7440869052375623
182,0.7358116232464931,True,0.7440869055165882
181,0.7318236472945893,True,0.7440869057973345
180,0.7278356713426855,True,0.7440869060763606
179,0.7238476953907816,False,0.7440869063553867
178,0.7198597194388778,False,0.7440869066344127
177,0.715871743486974,False,0.7440869069134388
176,0.7118837675350702,True,0.7440869071924648
175,0.7078957915831664,False,0.7440869074714911
174,0.7039078156312626,True,0.7440869077505171
173,0.6999198396793588,True,0.7440869080295434
172,0.695931863727455,False,0.7440869083085696
171,0.6919438877755512,True,0.7440869085875959
170,0.6879559118236473,False,0.744086908866622
169,0.6839679358717435,True,0.7440869091456482
168,0.6799799599198397,False,0.7440869094246745
167,0.6759919839679359,False,0.7440869097037006
166,0.6720040080160321,False,0.744086909982727
165,0.6680160320641283,True,0.7440869102617533
164,0.6640280561122245,False,0.7440869105407797
163,0.6600400801603207,True,0.7440869108198059
162,0.6560521042084169,False,0.7440869110988322
161,0.652064128256513,True,0.7440869113778585
160,0.6480761523046092,True,0.7440869116568851
159,0.6440881763527054,True,0.7440869119359115
158,0.6401002004008016,True,0.7440869122149378
157,0.6361122244488978,True,0.7440869124939642
156,0.632124248496994,True,0.7440869127729907
155,0.6281362725450902,False,0.7440869130520171
154,0.6241482965931864,True,0.7440869133310437
153,0.6201603206412826,True,0.7440869136100702
152,0.6161723446893788,True,0.7440869138890968
151,0.612184368737475,False,0.7440869141681231
150,0.6081963927855711,True,0.7440869144471497
149,0.6042084168336674,True,0.7440869147261762
148,0.6002204408817636,True,0.7440869150052027
147,0.5962324649298598,True,0.7440869152842294
146,0.592244488977956,True,0.744086915563256
145,0.5882565130260522,True,0.7440869158422826
144,0.5842685370741484,False,0.7440869161213093
143,0.5802805611222446,False,0.744086916400336
142,0.5762925851703408,True,0.7440869166793626
141,0.572304609218437,False,0.7440869169583892
140,0.5683166332665331,False,0.7440869172374159
139,0.5643286573146293,False,0.7440869175164426
138,0.5603406813627255,False,0.7440869177954694
137,0.5563527054108217,False,0.7440869180744961
136,0.5523647294589179,False,0.7440869183535229
135,0.5483767535070141,False,0.7440869186325496
134,0.5443887775551103,True,0.7440869189115766
133,0.5404008016032065,True,0.7440869191906033
132,0.5364128256513027,True,0.7440869194696302
131,0.5324248496993988,False,0.744086919748657
130,0.528436873747495,True,0.7440869200276838
129,0.5244488977955912,True,0.7440869203067109
128,0.5204609218436874,False,0.7440869205909968
126,0.5124849699398798,True,0.7440869207261613
127,0.5164729458917836,True,0.7440869208700237
125,0.508496993987976,True,0.7440869210051881
124,0.5045090180360722,True,0.7440869212842152
123,0.5005210420841684,False,0.7440869215632422
122,0.49653306613226456,True,0.7440869218422691
121,0.49254509018036075,True,0.7440869221212961
120,0.48855711422845693,True,0.7440869224003231
119,0.4845691382765531,True,0.7440869226793502
118,0.4805811623246493,False,0.7440869229583772
117,0.47659318637274556,False,0.7440869232374043
116,0.47260521042084175,True,0.7440869235164314
115,0.46861723446893794,True,0.7440869237954584
114,0.4646292585170341,False,0.7440869240744856
113,0.4606412825651303,True,0.7440869243535128
112,0.4566533066132265,True,0.7440869246325399
111,0.4526653306613227,True,0.7440869249094685
110,0.4486773547094189,True,0.7440869251884956
109,0.4446893787575151,False,0.7440869254567141
108,0.44070140280561126,False,0.7440869257357413
107,0.43671342685370745,False,0.744086926000403
106,0.43272545090180364,True,0.7440869262794303
105,0.42873747494989983,False,0.7440869265584575
104,0.424749498997996,False,0.7440869268374848
103,0.4207615230460922,True,0.744086927116512
102,0.4167735470941884,False,0.7440869275623933
101,0.4127855711422846,True,0.7440869278414206
100,0.4087975951903808,True,0.7440869281204481
99,0.40480961923847697,True,0.7440869283994754
98,0.40082164328657316,False,0.7440869286785026
97,0.39683366733466935,False,0.7440869289575301
96,0.3928456913827656,False,0.7440869292365576
92,0.37689378757515035,True,0.7440869293666191
95,0.3888577154308618,True,0.744086929515585
91,0.37290581162324654,False,0.7440869296456467
94,0.384869739478958,True,0.7440869297946124
90,0.36891783567134273,False,0.7440869299246742
93,0.38088176352705416,False,0.7440869300736398
89,0.3649298597194389,False,0.7440869302037016
88,0.3609418837675351,True,0.7440869304827293
87,0.3569539078156313,False,0.7440869307617568
86,0.3529659318637275,True,0.7440869310407843
85,0.3489779559118237,False,0.744086931319812
84,0.34498997995991987,False,0.7440869315988395
83,0.34100200400801606,True,0.7440869318778672
82,0.33701402805611225,True,0.7440869321568947
81,0.33302605210420844,False,0.7440869324359224
80,0.3290380761523046,False,0.7440869327149501
79,0.3250501002004008,False,0.7440869329939777
78,0.321062124248497,True,0.7440869332730052
77,0.3170741482965932,False,0.744086933552033
76,0.3130861723446894,False,0.7440869338310608
75,0.3090981963927856,True,0.7440869341100885
74,0.3051102204408818,False,0.7440869343891163
73,0.301122244488978,False,0.7440869346681441
72,0.2971342685370742,True,0.7440869349514414
71,0.2931462925851704,False,0.7440869352304693
70,0.2891583166332666,True,0.7440869355094971
69,0.28517034068136277,True,0.744086935788525
68,0.28118236472945896,False,0.7440869360675528
67,0.27719438877755515,True,0.744086936347232
66,0.27320641282565133,False,0.7440869366262599
65,0.2692184368737475,True,0.7440869369052878
64,0.2652304609218437,True,0.7440869371843157
63,0.2612424849699399,False,0.7440869374633436
62,0.2572545090180361,True,0.7440869377423717
61,0.2532665330661323,False,0.7440869380213996
60,0.24927855711422847,False,0.7440869381536273
59,0.24529058116232466,True,0.7440869384326552
58,0.24130260521042088,False,0.7440869387116833
57,0.23731462925851707,False,0.7440869389907114
56,0.23332665330661326,True,0.7440869392697393
55,0.22933867735470945,False,0.7440869395487674
54,0.22535070140280564,True,0.7440869398277955
53,0.22136272545090183,False,0.7440869401068236
52,0.21737474949899802,True,0.7440869403858517
51,0.2133867735470942,False,0.7440869406648798
50,0.2093987975951904,False,0.7440869409439079
49,0.20541082164328658,False,0.7440869412229363
48,0.2014228456913828,True,0.7440869415019643
47,0.197434869739479,True,0.7440869417809926
46,0.19344689378757518,True,0.7440869420600207
45,0.18945891783567137,True,0.744086942339049
44,0.18547094188376756,True,0.7440869426180772
43,0.18148296593186375,False,0.7440869428989435
42,0.17749498997995994,False,0.7440869431779719
41,0.17350701402805613,True,0.7440869434570001
40,0.16951903807615232,True,0.7440869437360285
39,0.1655310621242485,True,0.7440869440096446
38,0.1615430861723447,True,0.7440869442839553
37,0.1575551102204409,False,0.7440869445629836
36,0.1535671342685371,True,0.7440869448420121
35,0.1495791583166333,False,0.7440869450048501
34,0.14559118236472948,False,0.7440869452838785
33,0.14160320641282567,False,0.7440869455629069
32,0.13761523046092186,True,0.7440869458419354
31,0.13362725450901805,True,0.7440869461209638
30,0.12963927855711424,False,0.7440869463999923
29,0.12565130260521043,True,0.7440869466790209
27,0.11767535070140281,False,0.7440869468713668
28,0.12166332665330662,False,0.7440869469580493
26,0.113687374749499,True,0.7440869471520652
25,0.10969939879759519,True,0.7440869474310938
24,0.10571142284569139,True,0.7440869477101224
23,0.10172344689378758,True,0.7440869479893977
22,0.09773547094188377,False,0.7440869483262766
21,0.09374749498997996,True,0.7440869486053051
20,0.08975951903807615,False,0.7440869488843338
19,0.08577154308617234,False,0.7440869491633624
18,0.08178356713426854,True,0.7440869494423911
17,0.07779559118236473,True,0.7440869497214198
16,0.07380761523046092,True,0.7440869500004486
15,0.06981963927855711,False,0.7440869502377174
14,0.06583166332665331,False,0.744086950516746
13,0.061843687374749504,True,0.7440869507943779
12,0.0578557114228457,True,0.7440869510716854
11,0.05386773547094189,True,0.7440869513507143
10,0.04987975951903808,False,0.744086951629743
9,0.045891783567134276,False,0.7440869519087718
8,0.041903807615230465,False,0.744086952188454
7,0.037915831663326655,False,0.7440869524401512
6,0.03392785571142285,True,0.7440869525873852
5,0.02993987975951904,False,0.744086952866414
4,0.02595190380761523,False,0.7440869531454428
3,0.021963927855711426,False,0.7440869534239279
2,0.017975951903807616,False,0.7440869537106823
1,0.013987975951903809,True,0.7440869539900021
0,0.01,True,0.7440869542228821
